wywolania,dropout trening,dropout test,czas uczenia,czas testu,dokladnosc,wspolczynnik
1,0.25,0.25,12.0635791,0.1324896,0.26374,0
1,0.25,0.5,12.4824705,0.1350883,0.26701,0
1,0.25,0.75,12.2336521,0.1335666,0.26138,0
1,0.5,0.25,12.1543967,0.1338642,0.31953,0
1,0.5,0.5,12.2185596,0.1326984,0.32085,0
1,0.5,0.75,12.3753587,0.1324896,0.31403,0
1,0.75,0.25,12.2092772,0.1329843,0.38045,0
1,0.75,0.5,12.0685314,0.1316996,0.38283,0
1,0.75,0.75,12.2310927,0.1323326,0.38459,0
1,1,0.25,12.426158,0.1336241,0.3913,0
1,1,0.5,12.371601,0.1346739,0.36771,0
1,1,0.75,12.3907492,0.1343073,0.37319,0
10,0.25,0.25,12.6142208,0.3454421,0.26331,1.053599
10,0.25,0.5,12.3102086,0.3500905,0.26527,1.0638714
10,0.25,0.75,12.1934861,0.3496508,0.26721,1.0258321
10,0.5,0.25,12.2370317,0.3507397,0.31675,1.1476129
10,0.5,0.5,12.2275004,0.3457775,0.32355,1.2675949
10,0.5,0.75,12.2532779,0.3490909,0.31362,1.3014596
10,0.75,0.25,12.0902765,0.34787,0.38922,1.152342
10,0.75,0.5,12.233227,0.3450464,0.38234,1.2853473
10,0.75,0.75,12.3398874,0.3461397,0.38989,1.4080441
10,1,0.25,12.1559894,0.344509,0.37836,1.050365
10,1,0.5,12.3676358,0.3502727,0.36515,1.137722
10,1,0.75,12.2385826,0.3492911,0.37018,1.207383
30,0.25,0.25,12.156747,0.844662,0.2617,1.0446497
30,0.25,0.5,12.056964,0.8401543,0.26782,1.0642218
30,0.25,0.75,12.1939913,0.8352501,0.26291,1.036354
30,0.5,0.25,12.0929913,0.8432199,0.3187,1.1733497
30,0.5,0.5,12.2394283,0.8443087,0.32284,1.254286
30,0.5,0.75,12.075575,0.8497344,0.31402,1.2740986
30,0.75,0.25,12.4326631,0.8433497,0.37374,1.160396
30,0.75,0.5,12.096878,0.8493696,0.37181,1.2939508
30,0.75,0.75,12.11064,0.8459905,0.3847,1.4236603
30,1,0.25,12.2469927,0.8558636,0.37553,1.0474262
30,1,0.5,12.2657586,0.8457158,0.36709,1.1371768
30,1,0.75,12.4078162,0.8722088,0.3859,1.2057356
50,0.25,0.25,11.9825773,1.3483932,0.2715,1.0604329
50,0.25,0.5,11.8958575,1.377336,0.27077,1.0554292
50,0.25,0.75,12.0133129,1.3667518,0.26553,1.0583086
50,0.5,0.25,12.0682132,1.353988,0.30664,1.1499566
50,0.5,0.5,12.1286496,1.3636844,0.31325,1.2540369
50,0.5,0.75,12.1001362,1.3304691,0.31284,1.2827736
50,0.75,0.25,12.5552384,1.337106,0.38959,1.1487568
50,0.75,0.5,12.2400973,1.3782797,0.37718,1.3086414
50,0.75,0.75,12.4490295,1.3720502,0.38306,1.3984671
50,1,0.25,12.568486,1.3822006,0.37718,1.0567969
50,1,0.5,12.5765707,1.3688402,0.37275,1.1414197
50,1,0.75,12.7107988,1.3519452,0.37802,1.2138215
100,0.25,0.25,12.3383029,2.6292994,0.27123,1.0586808
100,0.25,0.5,12.706917,2.6275295,0.27075,1.0367322
100,0.25,0.75,12.2463376,2.6423603,0.26155,1.0601027
100,0.5,0.25,12.0029711,2.6212116,0.31062,1.168322
100,0.5,0.5,12.1980557,2.6130547,0.31667,1.2530584
100,0.5,0.75,12.3087397,2.6326687,0.32303,1.2492604
100,0.75,0.25,12.2707049,2.6621367,0.3848,1.1341921
100,0.75,0.5,12.1835268,2.6288087,0.37677,1.3134049
100,0.75,0.75,12.1981667,2.6223082,0.38531,1.3933807
100,1,0.25,12.0347476,2.6736506,0.37482,1.0526634
100,1,0.5,12.3328193,2.6213033,0.38724,1.1405394
100,1,0.75,12.2844967,2.6196183,0.38377,1.1998908
